"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"247",1,10,13,18,24,29,33,39,43,48
"248",1,10,13,18,22,29,34,39,43,50
"249",1,10,13,17,24,28,34,39,43,48
"250",1,10,13,17,25,29,34,39,44,48
"251",1,10,13,18,24,28,34,39,44,49
"252",1,10,13,16,22,28,34,39,43,49
"253",1,10,14,17,25,29,34,39,43,49
"254",1,10,12,17,24,28,33,39,43,48
"255",1,10,14,16,24,29,34,39,44,49
"256",1,10,13,20,24,29,34,39,44,48
"257",1,10,13,20,24,28,33,39,43,48
"258",1,10,13,17,23,29,33,39,43,47
"259",1,10,13,16,24,28,34,38,44,48
"260",1,10,12,17,23,28,33,39,43,48
"261",1,10,12,16,23,29,34,39,44,48
"262",1,10,13,17,25,29,33,39,43,48
"263",1,10,13,20,24,29,34,39,45,49
"264",1,10,12,17,24,29,34,40,44,50
"265",1,10,13,19,24,29,34,38,44,49
"266",1,10,14,16,24,28,33,38,43,48
"267",1,10,13,16,22,28,33,38,43,49
"268",1,10,13,16,25,29,33,38,43,48
"269",1,10,13,16,22,29,34,38,43,48
"270",1,10,12,16,24,29,33,39,43,48
"271",1,10,12,18,24,29,34,39,43,48
"272",1,10,13,17,24,28,33,38,44,47
"273",1,10,13,16,25,29,34,39,44,50
"274",1,10,12,18,22,29,34,38,44,48
"275",1,10,13,18,22,28,33,39,43,48
"276",1,10,14,18,24,29,34,40,44,49
"277",1,10,13,19,24,29,33,38,43,49
"278",1,10,13,18,24,29,34,39,42,48
"279",1,10,12,16,25,29,34,39,44,49
"280",1,10,13,16,24,28,33,39,43,49
"281",1,10,13,16,23,28,33,39,43,49
"282",1,10,13,17,25,28,33,39,43,49
"283",1,10,13,18,24,29,33,38,43,48
"284",1,10,13,18,25,28,34,39,43,49
"285",1,10,12,17,25,29,34,39,44,48
"286",1,10,12,17,22,29,34,39,43,49
"287",1,10,13,18,25,30,34,40,44,49
"288",2,10,12,16,22,29,34,39,43,48
"289",2,10,12,16,22,29,34,39,44,49
"290",1,10,13,17,24,29,34,39,45,49
"291",1,10,13,17,24,29,33,39,43,49
"292",1,10,13,17,23,29,33,39,43,48
"293",1,10,12,17,22,28,33,39,43,49
"294",1,10,13,17,23,28,34,39,44,48
"295",1,10,12,17,25,29,34,39,43,48
"296",1,10,12,18,23,29,34,39,43,49
"297",2,10,12,16,25,28,33,39,43,48
"298",1,10,13,18,24,28,33,39,44,48
"299",1,10,13,16,25,28,33,39,43,48
"300",1,10,13,17,24,29,34,38,43,48
"301",1,10,14,16,23,29,34,39,43,48
"302",1,10,13,17,24,29,34,39,44,50
"303",1,10,14,18,24,30,34,39,44,49
