"","rule.data.num.1","rule.data.num.2","rule.data.num.3","rule.data.num.4","rule.data.num.5","rule.data.num.6","rule.data.num.7","rule.data.num.8","rule.data.num.9","rule.data.num.10"
"281",1,14,18,26,34,41,48,55,62,69
"282",1,14,18,27,34,40,47,54,61,69
"283",1,14,18,24,34,40,47,55,60,68
"284",2,14,17,24,31,40,46,54,60,67
"285",2,14,18,24,35,40,46,54,61,68
"286",1,14,18,28,34,40,48,54,61,68
"287",2,14,18,25,34,41,48,55,62,68
"288",2,14,18,25,31,40,46,54,60,66
"289",2,14,18,24,34,41,48,55,61,68
"290",1,14,18,26,35,40,48,55,61,67
"291",2,14,18,23,31,40,47,55,61,67
"292",1,14,17,27,34,41,47,55,61,68
"293",2,14,18,23,31,40,46,53,60,67
"294",1,14,20,25,32,39,47,55,60,68
"295",1,14,17,23,34,40,48,55,61,70
"296",2,14,18,27,34,41,47,54,61,69
"297",2,14,17,25,34,40,47,54,60,68
"298",1,14,18,24,34,41,48,55,61,68
"299",2,14,18,24,31,40,47,54,61,68
"300",1,14,18,24,35,40,47,54,61,68
"301",1,14,17,25,34,41,48,55,62,69
"302",1,14,18,27,31,41,48,55,61,69
"303",1,14,18,24,34,40,47,54,61,66
"304",1,14,18,24,34,40,48,55,61,68
"305",2,14,18,23,34,40,46,54,61,68
"306",2,14,18,22,31,40,47,54,60,67
"307",2,14,18,25,34,40,47,54,60,69
"308",2,14,18,22,34,39,46,54,60,67
"309",1,14,17,23,35,40,47,55,61,68
"310",1,14,18,22,34,41,48,55,61,69
"311",2,14,18,24,31,40,47,55,60,67
"312",1,14,18,28,34,40,47,54,61,68
"313",2,14,17,25,34,41,48,55,60,69
"314",1,14,17,22,31,40,47,55,61,69
"315",2,14,17,28,34,41,47,55,60,68
"316",1,14,18,26,31,40,47,54,61,67
"317",2,14,18,23,31,39,47,54,60,67
"318",2,14,18,23,34,40,47,55,60,68
"319",1,14,17,25,34,41,48,55,61,69
"320",1,14,17,24,34,41,48,55,61,70
"321",2,14,18,26,34,41,48,55,62,68
"322",1,14,18,27,34,40,47,54,60,68
"323",1,14,18,24,34,39,47,54,61,67
"324",1,14,18,25,34,41,47,55,61,70
"325",1,14,18,25,31,40,46,55,61,67
"326",1,14,18,25,34,40,47,55,60,68
"327",2,14,18,24,31,40,47,54,60,68
"328",1,14,18,25,34,39,47,55,60,68
"329",1,14,20,24,34,41,48,55,62,68
"330",2,14,21,24,31,39,46,54,60,68
"331",1,14,18,23,34,41,47,55,61,67
"332",1,14,18,27,35,41,48,55,62,69
"333",1,14,18,25,34,40,48,55,61,68
"334",1,14,18,23,34,41,48,55,62,68
"335",1,14,17,23,34,40,47,54,60,68
"336",2,14,17,23,31,41,47,55,61,69
"337",2,14,17,22,31,40,46,53,60,67
"338",2,14,17,26,34,41,47,55,61,68
"339",1,14,18,27,34,41,48,55,62,69
"340",1,14,18,23,31,40,47,55,61,68
"341",2,14,18,24,31,40,47,54,60,67
"342",1,14,18,25,31,40,47,54,61,67
"343",1,14,18,22,34,40,47,54,60,67
"344",1,14,18,22,31,40,47,55,60,68
"345",2,14,18,23,31,40,47,54,61,67
"346",1,14,17,23,34,40,47,54,61,68
"347",1,14,17,25,31,40,47,54,60,69
"348",1,14,18,25,31,40,47,55,60,68
"349",2,14,18,27,31,40,47,54,60,67
"350",1,14,17,23,34,40,46,54,60,68
"351",2,14,17,23,34,39,46,53,60,69
"352",2,14,18,23,31,40,47,53,60,67
"353",2,14,18,23,31,40,46,53,59,67
"354",2,14,18,26,35,41,48,55,61,69
"355",1,14,18,26,34,41,48,56,61,70
"356",1,14,18,27,34,41,47,55,61,69
"357",1,14,18,27,34,41,47,55,62,69
"358",1,14,18,24,34,40,48,55,61,69
"359",2,14,18,25,31,40,47,54,60,67
"360",1,14,17,23,34,40,46,54,61,68
"361",2,14,18,23,31,40,47,54,59,68
"362",1,14,18,22,35,40,47,54,60,68
"363",1,14,17,28,34,41,48,55,62,70
"364",2,14,18,24,34,40,47,55,61,67
"365",2,14,17,23,34,40,47,54,61,67
"366",2,14,18,25,34,40,47,55,60,69
"367",2,14,18,28,34,41,48,55,61,69
"368",1,14,18,23,32,40,47,54,60,68
"369",2,14,18,28,34,41,48,55,62,69
"370",1,14,18,23,34,40,47,54,60,68
"371",2,14,18,24,34,39,46,54,60,67
"372",2,14,18,24,31,40,47,54,61,69
"373",2,14,18,28,34,40,47,54,61,70
"374",2,14,18,27,34,40,48,55,60,69
"375",1,14,20,28,34,41,48,55,62,68
"376",1,14,17,25,34,41,48,55,62,67
"377",2,14,17,24,34,40,47,55,61,69
"378",2,14,18,25,34,41,47,54,60,69
"379",1,14,18,24,34,41,48,55,62,69
"380",1,14,18,23,31,40,47,55,61,69
"381",1,14,18,25,35,40,47,55,62,68
"382",2,14,18,23,31,39,46,54,59,66
"383",2,14,18,26,34,40,46,54,60,68
"384",1,14,18,26,34,41,48,55,61,69
"385",1,14,18,28,35,40,47,55,62,68
"386",2,14,17,24,34,41,47,55,62,69
"387",1,14,18,27,34,40,47,54,61,68
"388",1,14,18,24,31,39,47,55,60,67
"389",2,14,17,25,34,41,48,55,60,68
"390",1,14,18,25,34,40,47,54,61,67
"391",2,14,18,23,34,41,47,54,61,69
"392",1,14,18,27,34,41,48,55,62,70
"393",1,14,17,24,34,40,46,55,60,68
"394",2,14,18,24,35,41,48,54,61,68
"395",1,14,17,24,31,40,47,55,61,68
